series_code,category,price_type,adjustment_type,date,sales_value,price_flag,seasonal_adjusted,year,month,quarter
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-04-01,4742.0,Current,False,2005,4,2005Q2
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-04-01,1994.0,Current,False,2005,4,2005Q2
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-04-01,2735.0,Current,False,2005,4,2005Q2
sales6239,All other retailers,At current prices,Actual values,2005-04-01,4748.0,Current,False,2005,4,2005Q2
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-04-01,11826.0,Current,True,2005,4,2005Q2
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-04-01,2934.0,Current,True,2005,4,2005Q2
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-04-01,1995.0,Current,True,2005,4,2005Q2
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-04-01,4434.0,Current,True,2005,4,2005Q2
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-04-01,2280.0,Current,True,2005,4,2005Q2
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-04-01,2827.0,Current,True,2005,4,2005Q2
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-04-01,4891.0,Current,True,2005,4,2005Q2
con_act,,At constant prices,Actual values,2005-05-01,57766.0,Constant,False,2005,5,2005Q2
con_seas,,At constant prices,Seasonally adjusted values,2005-05-01,58581.0,Constant,False,2005,5,2005Q2
cur_act,,At current prices,Actual values,2005-05-01,31078.0,Current,False,2005,5,2005Q2
cur_seas,,At current prices,Seasonally adjusted values,2005-05-01,31608.0,Current,False,2005,5,2005Q2
sales621C,General dealers,At current prices,Actual values,2005-05-01,11471.0,Current,False,2005,5,2005Q2
sales6220,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Actual values,2005-05-01,2706.0,Current,False,2005,5,2005Q2
sales6231,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Actual values,2005-05-01,2027.0,Current,False,2005,5,2005Q2
sales6232,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Actual values,2005-05-01,4958.0,Current,False,2005,5,2005Q2
sales6233,"Retailers in household furniture,appliances and equipment",At current prices,Actual values,2005-05-01,2036.0,Current,False,2005,5,2005Q2
sales6234,"Retailers in hardware,paint and glass",At current prices,Actual values,2005-05-01,2974.0,Current,False,2005,5,2005Q2
sales6239,All other retailers,At current prices,Actual values,2005-05-01,4906.0,Current,False,2005,5,2005Q2
sales621C_D11,General dealers,At current prices,Seasonally adjusted values,2005-05-01,11843.0,Current,True,2005,5,2005Q2
sales6220_D11,"Retailers of food, beverages and tobacco in specialised stores",At current prices,Seasonally adjusted values,2005-05-01,2821.0,Current,True,2005,5,2005Q2
sales6231_D11,"Retailers in pharmaceutical and medical goods,cosmetics and toiletries",At current prices,Seasonally adjusted values,2005-05-01,1876.0,Current,True,2005,5,2005Q2
sales6232_D11,"Retailers in textiles,clothing,footwear and leather goods",At current prices,Seasonally adjusted values,2005-05-01,4772.0,Current,True,2005,5,2005Q2
sales6233_D11,"Retailers in household furniture,appliances and equipment",At current prices,Seasonally adjusted values,2005-05-01,2247.0,Current,True,2005,5,2005Q2
sales6234_D11,"Retailers in hardware,paint and glass",At current prices,Seasonally adjusted values,2005-05-01,2954.0,Current,True,2005,5,2005Q2
sales6239_D11,All other retailers,At current prices,Seasonally adjusted values,2005-05-01,5096.0,Current,True,2005,5,2005Q2
con_act,,At constant prices,Actual values,2005-06-01,56806.0,Constant,False,2005,6,2005Q2
con_seas,,At constant prices,Seasonally adjusted values,2005-06-01,59135.0,Constant,False,2005,6,2005Q2
cur_act,,At current prices,Actual values,2005-06-01,30448.0,Current,False,2005,6,2005Q2
cur_seas,,At current prices,Seasonally adjusted values,2005-06-01,32080.0,Current,False,2005,6,2005Q2
